timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-09-21T00:41:33,DLinear_Model_v2_Germany_summer_run1,62518a4d-a583-4863-8251-08b0acb20efd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,38.05164199999854,0.0016692052176371,4.3866838062788366e-05,390.0,14.566437283963834,10.0,0.0041215936883327,0.0001544176235339,0.0001056797699999,0.0043816910818667,Germany,DEU,bavaria,,,Windows-10-10.0.26100-SP0,3.11.11,3.0.4,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce RTX 4070 SUPER,11.0092,49.585,15.912620544433594,machine,N,1.0
2025-09-21T02:41:52,DLinear_Model_v2_Germany_summer_run1,17e0c2f1-2a0b-4e86-a434-27bea74c4ec7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,41.38797039999997,0.0017955567756113,4.338354256703004e-05,390.0,10.160747864049352,10.0,0.0044823719633333,0.000116063426184,0.000114930605,0.0047133659945173,Germany,DEU,bavaria,,,Windows-10-10.0.26100-SP0,3.11.11,3.0.4,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce RTX 4070 SUPER,11.0092,49.585,15.912620544433594,machine,N,1.0
2025-09-21T12:39:30,DLinear_Model_v2_Germany_summer_run1,8db1cd38-6dcd-4970-8c4e-2dbdc98fd507,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,31.993010300000606,0.0014247484896259348,4.4533117586184376e-05,390.0,20.992040553143678,10.0,0.0034644568291669806,0.00018670070491599855,8.883062611110089e-05,0.0037399881601940803,Germany,DEU,bavaria,,,Windows-10-10.0.26100-SP0,3.11.11,3.0.4,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce RTX 4070 SUPER,11.0092,49.585,15.912620544433594,machine,N,1.0
